id,title,year,venue,status,category,primary_url,code_url,code_status,datasets,metrics,key_idea,reported_result,caveats,priority
balle2017_e2e,End-to-End Optimized Image Compression,2017,ICLR,peer_reviewed,general_lic,https://openreview.net/forum?id=rJxdQ3jeg,https://github.com/tensorflow/compression,reference_framework,Kodak; ImageNet-derived training,PSNR; MS-SSIM; rate,Nonlinear transform coding with GDN and differentiable quantization surrogate.,Foundational end-to-end learned transform codec.,Historical baseline; implementation details and entropy coder differ from modern frameworks.,P1
balle2018_hyperprior,Variational Image Compression with a Scale Hyperprior,2018,ICLR,peer_reviewed,entropy_modeling,https://openreview.net/forum?id=rkcQFMZRb,https://github.com/tensorflow/compression,reference_framework,Kodak; ImageNet-derived training,PSNR; MS-SSIM; rate,Side-information hyperprior predicts spatially varying latent scales.,Established hyperprior as a standard LIC component.,Compare actual bitstreams and color preprocessing carefully.,P0
minnen2018_joint,Joint Autoregressive and Hierarchical Priors for Learned Image Compression,2018,NeurIPS,peer_reviewed,entropy_modeling,https://arxiv.org/abs/1809.02736,https://github.com/tensorflow/compression,reference_framework,Kodak; web image training corpus,PSNR; MS-SSIM; rate,Combines hyperprior and autoregressive spatial context.,Improved entropy estimates over either prior alone.,Sequential decoding cost is central.,P0
cheng2020_gmm,Learned Image Compression with Discretized Gaussian Mixture Likelihoods and Attention Modules,2020,CVPR,peer_reviewed,general_lic,https://openaccess.thecvf.com/content_CVPR_2020/html/Cheng_Learned_Image_Compression_With_Discretized_Gaussian_Mixture_Likelihoods_and_Attention_CVPR_2020_paper.html,https://github.com/InterDigitalInc/CompressAI,framework_reimplementation,Kodak,PSNR; MS-SSIM; bpp,Gaussian-mixture entropy model and attention-enhanced transforms.,Widely used strong convolutional baseline.,CompressAI implementation may not be byte-identical to author code.,P1
he2022_elic,ELIC: Efficient Learned Image Compression with Unevenly Grouped Space-Channel Contextual Adaptive Coding,2022,CVPR,peer_reviewed,entropy_modeling,https://arxiv.org/abs/2203.10886,https://github.com/VincentChandelier/ELiC-ReImplemetation,third_party_reimplementation,ImageNet; Kodak; CLIC; Tecnick,PSNR; MS-SSIM; bpp; runtime,Uneven channel groups and space-channel context for efficiency and progressive decoding.,Strong speed/RD trade-off and common baseline.,Frequently used code is a reimplementation; label accordingly.,P1
zou2022_wacnn,The Devil Is in the Details: Window-based Attention for Image Compression,2022,CVPR,peer_reviewed,transformer_lic,https://openaccess.thecvf.com/content/CVPR2022/html/Zou_The_Devil_Is_in_the_Details_Window-Based_Attention_for_Image_CVPR_2022_paper.html,,verify,Kodak; Tecnick; CLIC,PSNR; MS-SSIM; bpp,Window attention and entropy modeling tailored to LIC.,Representative early Transformer LIC.,Official implementation availability must be rechecked before use.,P2
liu2023_lictcm,Learned Image Compression with Mixed Transformer-CNN Architectures,2023,CVPR,peer_reviewed,transformer_lic,https://arxiv.org/abs/2303.14978,https://github.com/jmliu206/LIC_TCM,official,Kodak; Tecnick; CLIC Pro,PSNR; MS-SSIM; bpp; complexity,Parallel Transformer-CNN mixture blocks and channel-wise entropy model.,Strong hybrid backbone baseline.,Check training corpus and exact VTM reference.,P1
jiang2023_mlic,MLIC: Multi-Reference Entropy Model for Learned Image Compression,2023,ACM Multimedia,peer_reviewed,entropy_modeling,https://arxiv.org/abs/2211.07273,https://github.com/JiangWeibeta/MLIC,official,DIV2K; Flickr2K; CLIC; COCO; ImageNet; Kodak; Tecnick,PSNR; MS-SSIM; BD-rate,"Joint channel, local spatial and global references.",Author reports Kodak BD-rate -8.05% for MLIC and -11.39% for MLIC+ vs VTM-17.0.,Use exact model generation and actual stream path.,P0
jiang2025_mlicpp,MLIC++: Linear Complexity Multi-Reference Entropy Modeling for Learned Image Compression,2025,ACM TOMM,peer_reviewed,entropy_modeling,https://arxiv.org/abs/2307.15421,https://github.com/JiangWeibeta/MLIC,official,MLIC-Train-100K; Kodak; Tecnick; CLIC Pro,PSNR; MS-SSIM; BD-rate; complexity,Linear-complexity local/global multi-reference entropy model.,Author reports Kodak/Tecnick/CLIC Pro BD-rate -13.39/-17.59/-13.08% vs VTM-17.0.,Repository notes architecture/checkpoint corrections; pin commit and model class.,P0
li2024_ftic,Frequency-aware Transformer for Learned Image Compression,2024,ICLR,peer_reviewed,transformer_lic,https://openreview.net/,https://github.com/qingshi9974/ICLR2024-FTIC,official,OpenImages or author training corpus; Kodak; Tecnick; CLIC,PSNR; MS-SSIM; BD-rate,Frequency-decomposition window attention and frequency modulation.,Author reports double-digit BD-rate gains over VTM on standard sets.,Verify exact paper URL and training corpus from pinned README/paper before citation.,P1
